Model,Scenario,Region,Variable,Unit,2020,2025,2030
MESSAGEix-Buildings,SSP2,R12_PAO,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,2.026,2.231
MESSAGEix-Buildings,SSP2,R12_PAS,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.593,0.67
MESSAGEix-Buildings,SSP2,R12_PAS,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.415,0.464
MESSAGEix-Buildings,SSP2,R12_PAS,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,37.376,42.841
MESSAGEix-Buildings,SSP2,R12_PAS,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.227,0.255
MESSAGEix-Buildings,SSP2,R12_PAS,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.164,0.183
MESSAGEix-Buildings,SSP2,R12_PAS,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,9.832,11.256
MESSAGEix-Buildings,SSP2,R12_PAS,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,5.989,6.787
MESSAGEix-Buildings,SSP2,R12_RCPA,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.254,0.259
MESSAGEix-Buildings,SSP2,R12_RCPA,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.212,0.233
MESSAGEix-Buildings,SSP2,R12_RCPA,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,16.327,16.88
MESSAGEix-Buildings,SSP2,R12_RCPA,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.048,0.046
MESSAGEix-Buildings,SSP2,R12_RCPA,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.047,0.051
MESSAGEix-Buildings,SSP2,R12_RCPA,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,10.559,11.264
MESSAGEix-Buildings,SSP2,R12_RCPA,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,7.354,8.256
MESSAGEix-Buildings,SSP2,R12_SAS,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,1.362,1.602
MESSAGEix-Buildings,SSP2,R12_SAS,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.753,0.884
MESSAGEix-Buildings,SSP2,R12_SAS,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,73.758,88.121
MESSAGEix-Buildings,SSP2,R12_SAS,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.584,0.68
MESSAGEix-Buildings,SSP2,R12_SAS,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.35,0.409
MESSAGEix-Buildings,SSP2,R12_SAS,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,22.828,27.582
MESSAGEix-Buildings,SSP2,R12_SAS,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,9.574,11.414
MESSAGEix-Buildings,SSP2,R12_WEU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.203,0.197
MESSAGEix-Buildings,SSP2,R12_WEU,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.137,0.149
MESSAGEix-Buildings,SSP2,R12_WEU,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,29.568,28.63
MESSAGEix-Buildings,SSP2,R12_WEU,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.168,0.162
MESSAGEix-Buildings,SSP2,R12_WEU,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.157,0.17
MESSAGEix-Buildings,SSP2,R12_WEU,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,12.851,12.444
MESSAGEix-Buildings,SSP2,R12_WEU,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,7.992,8.735
